Start Date,End Date,Time,Location,Target,Weapons,Reported_Minimum,Reported_Maximum
29-Jul-13,29-Jul-13,AM,"Khamsa Mile, Basra",civilians in market in predominantly Shiite city,car bomb,1,4
29-Jul-13,29-Jul-13,AM,Al-Waha shopping centre and the industrial district in Samawah,"civilians, policeman among those killed",two car bombs,2,5
29-Jul-13,29-Jul-13,AM,Kut,"civilians near garage; Samir Al-Dulaimi (policeman in anti-explosives directorate), car repair shop owners and young girl among those killed",two car bombs and possibly one roadside bomb,6,11
29-Jul-13,29-Jul-13,AM,"Abu Disheer, south Baghdad",civilians,car bomb,1,1
29-Jul-13,29-Jul-13,PM,"near Al-Ani Mosque, Waziriyah, north Baghdad",civilians in perfume shop,bomb,2,2
29-Jul-13,29-Jul-13,10.30 pm,"the main street in Madain, south of Baghdad",civilians watching a football match in a cafe,roadside bomb,2,2
29-Jul-13,29-Jul-13,AM,"Risala, west Baghdad",civilians,car bomb,1,1
29-Jul-13,29-Jul-13,AM,"Bayaa, southwest Baghdad",civilians,car bomb,3,3
29-Jul-13,29-Jul-13,AM,"Al-Malhani Market, north Baghdad",construction workers gathering for work,one or two car bombs,5,5
29-Jul-13,29-Jul-13,AM,"near Zahra Hospital, Sha'ab, northeast Baghdad",civilians in public garage,car bomb,1,1
29-Jul-13,29-Jul-13,AM,"Mahmoudiya, south of Baghdad",civilians,car bomb,3,4
29-Jul-13,29-Jul-13,AM,"Hurriya, north Baghdad",civilians,two car bombs,4,6
29-Jul-13,29-Jul-13,AM,"the industrial district in Tobchi, northwest Baghdad",civilians,car bomb,3,3
29-Jul-13,29-Jul-13,AM,"Shurta Rab'a Crossroad, west Baghdad",civilians,car bomb,2,2
29-Jul-13,29-Jul-13,AM,"Dakhil Street, Sadr City, Baghdad","day labourers told to get into a van before it was detonated, bystanders also among those killed",car bomb,5,5
29-Jul-13,29-Jul-13,AM,"Habibiah, Sadr City, east Baghdad",civilians,car bomb,4,4
28-Jul-13,28-Jul-13,,Ramadi,policeman in a car,magnetic bomb,1,1
27-Jul-13,28-Jul-13,,"Haweeja, west of Kirkuk",body of Sahwa member found,,1,1
28-Jul-13,28-Jul-13,,Basra,employee of the Southern Oil Company,,1,1
28-Jul-13,28-Jul-13,,"Abe Al-Kaseeb, Basra","Sheikh Issa Al-Othman, tribal elder, as he was leaving his home",gunfire,1,1
28-Jul-13,28-Jul-13,12.00 pm,"near Maridi central market, central Samara","police checkpoint, policeman killed",automatic weapons,1,1
28-Jul-13,28-Jul-13,,"Alajabiria First, southeast of Samarra","police checkpoint, policeman killed","drive-by shooting, machine-gun fire",1,1
28-Jul-13,28-Jul-13,,20 km west of Mosul,body of 45-year-old man found bound and shot in the head and chest,"gunfire, executed",1,1
28-Jul-13,28-Jul-13,,Shirqat,civilian,two roadside bombs,1,1
28-Jul-13,28-Jul-13,,"east Buhriz, Diyala",civilian near his home,gunfire,1,1
28-Jul-13,28-Jul-13,PM,"Al-Mashtal, central Heet",police colonel Ismael Hameed Al-Ubaidi,"drive-by shooting, machine-gun fire",1,1
28-Jul-13,28-Jul-13,PM,"Ourizdi Street, Karada, central Baghdad",civilians in minibus,bomb,2,3
28-Jul-13,28-Jul-13,AM,"Al-Silaikh, north Baghdad",tea house,bomb,1,1
27-Jul-13,27-Jul-13,,"Zanjili, west Mosul",policemen at checkpoint,gunfire,2,2
27-Jul-13,27-Jul-13,,village northeast near Baquba,farmer in his orchard or in his car,roadside bomb,1,1
27-Jul-13,27-Jul-13,PM,"Shulla, north Baghdad",policeman in his car,magnetic bomb,1,1
27-Jul-13,27-Jul-13,PM,"Grand Mosque in Karmeh, 16 km east of Fallujah","Sheikh Hatem Al-Halbusi, as he was entering the mosque",drive-by shooting,1,1
27-Jul-13,27-Jul-13,AM,"Jihad, southwest Baghdad",doctor in his car,machine-gun fire,1,1
25-Jul-13,26-Jul-13,PM,east Baghdad,"civilians in popular cafe, 16-year-old boy among those killed",roadside bomb,2,2
26-Jul-13,26-Jul-13,,"Syed Ghraib, south of Balad","police checkpoint, policeman killed",automatic weapons,1,1
26-Jul-13,26-Jul-13,12.00 pm,"Hajar Vale, south of Mosul","federal police patrol, civilian killed",roadside bomb,1,1
26-Jul-13,26-Jul-13,PM,"Shirqat, north of Tikrit","policeman's wife, in her home",stabbed,1,1
26-Jul-13,26-Jul-13,,"Al-Taqiya, near downtown Diwaniya",body found of facilities protection services employee,stabbed,1,1
26-Jul-13,26-Jul-13,PM,"Qayara, south of Mosul","police chief Colonel Saad Khalil Saleh, either in mosque during evening prayer or later in front of his home",gunfire,1,1
25-Jul-13,25-Jul-13,,"Adheim, 60 km north of Baquba",truck driver and companions,gunfire,3,3
25-Jul-13,25-Jul-13,,south Mosul,policeman outside his home,gunfire,1,1
25-Jul-13,25-Jul-13,,Mosul,child killed,roadside bomb,0,1
25-Jul-13,25-Jul-13,,"Al-Qalaa, south of Samarra",Sahwa members on their way to a checkpoint,roadside bomb,2,2
25-Jul-13,25-Jul-13,AM,"Al-Zahra / Al-Wahda, east Mosul","Loay Yunis, employee at the Ministry of Electricity, near his home",gunfire,1,1
25-Jul-13,25-Jul-13,PM,north Mosul,"police patrol, policeman killed",roadside bomb,1,1
25-Jul-13,25-Jul-13,,"Al-Shoura, 50 km south of Mosul",policeman in a car,assault rifles,1,1
25-Jul-13,25-Jul-13,,"central Dujail, south of Tikrit","man, his wife and their son in their car",magnetic bomb,0,3
25-Jul-13,25-Jul-13,,"Shurqat, Tikrit","water project under construction, workers killed",11 roadside bombs,2,2
25-Jul-13,25-Jul-13,PM,"Amel Shabi Street, Amriyah, west Baghdad",wedding in a house,bomb,2,4
25-Jul-13,25-Jul-13,PM,"Al-Maddan, 30 km southeast of Baghdad",popular cafe,bomb,2,6
25-Jul-13,25-Jul-13,PM,south of Mosul,"police convoy, civilian killed",roadside bomb,1,1
25-Jul-13,25-Jul-13,,"Baghdad, including in Obeidi","young men, including a 17-year-old and two street cleaners, in separate incidents",gunfire,4,4
25-Jul-13,25-Jul-13,AM,"Hanbali, Kirkuk","police patrol, police killed",car bomb,3,3
25-Jul-13,25-Jul-13,,"near the Ministry of Peshmerga on General Erbil Shaqlawa Street, near Arbil","gunfight between gunmen and Kurdish security forces, taxi driver killed",crossfire,1,1
